TIMESTAMP,ShareX
1619120010,61.43814038
1619125010,58.74814841
1619130010,90.10017163
1619135010,100.5352112
1619140010,12.2706639
1619145010,50.17422982
1619150010,21.88813039
1619155010,91.20241001
1619160010,41.79297323
1619165010,20.7929192
1619170010,55.30500812
1619175010,96.3968045
1619180010,100.5731518
1619185010,34.87089065
1619190010,11.27137281
1619195010,14.80884529
1619200010,67.31006507
1619205010,62.00373612
1619210010,97.54004012
1619215010,77.96964468
1619220010,97.48421146
1619225010,67.59648857
1619230010,8.557625335
1619235010,69.41240142
1619240010,23.87721559
1619245010,28.38814034
1619250010,5.138492719
1619255010,12.40554657
1619260010,89.21334028
1619265010,23.88735336
1619270010,21.82591778
1619275010,72.13700987
1619280010,48.24124666
1619285010,55.70485599
1619290010,30.16258713
1619295010,4.691588761
1619300010,75.04713544
1619305010,41.34530232
1619310010,1.625259625
1619315010,36.27354319
1619320010,62.18232175
1619325010,60.21206901
1619330010,78.19156813
1619335010,58.33943146
1619340010,79.19277881
1619345010,16.89638248
1619350010,85.63540457
1619355010,27.90285059
1619360010,28.72541467
1619365010,33.21076067
1619370010,7.290742592
1619375010,13.55062879
1619380010,8.78835777
1619385010,19.13884685
1619390010,21.95844612
1619395010,46.63110988
1619400010,10.7047744
1619405010,44.93523096
1619410010,49.01228557
1619415010,37.87526357
1619420010,87.11227985
1619425010,41.81487656
1619430010,29.80511626
1619435010,68.81394273
1619440010,90.41349212
1619445010,38.33950873
1619450010,85.19504089
1619455010,87.95728677
1619460010,41.84114815
1619465010,77.98514438
1619470010,67.52309022
1619475010,83.89040312
1619480010,13.4095615
1619485010,91.44195207
1619490010,70.64756974
1619495010,57.97046918
1619500010,66.51765312
1619505010,20.70046311
1619510010,2.65500233
1619515010,28.09941165
1619520010,1.709794103
1619525010,69.40171122
1619530010,97.97717266
1619535010,36.14674492
1619540010,91.00993648
1619545010,16.70238407
1619550010,75.42359099
1619555010,21.31038102
1619560010,91.4923351
1619565010,36.98868797
1619570010,87.45292503
1619575010,7.308376355
1619580010,41.29044284
1619585010,5.451455512
1619590010,98.83589818
1619595010,84.69925891
1619600010,64.12875009
1619605010,13.81607867
1619610010,28.95028307
1619615010,4.859901506
1619620010,98.00645869
1619625010,40.87792477
1619630010,36.43010967
1619635010,35.86460579
1619640010,22.23946284
1619645010,42.9215255
1619650010,67.16017372
1619655010,28.43032419
1619660010,51.38250197
1619665010,86.88853807
1619670010,4.143287373
1619675010,68.06255334
1619680010,70.06677727
1619685010,58.86252259
1619690010,15.81279135
1619695010,33.30527899
1619700010,48.2340303
1619705010,92.47560199
1619710010,76.01637327
1619715010,37.91369431
1619720010,10.18184313
1619725010,63.90828342
1619730010,81.74145854
1619735010,10.79564996
1619740010,41.04675939
1619745010,59.96305179
1619750010,32.79275283
1619755010,31.93605386
1619760010,90.36905133
1619765010,17.03821684
1619770010,50.8319703
1619775010,11.80831008
1619780010,93.17936861
1619785010,92.22088323
1619790010,59.11314433
1619795010,45.38870957
1619800010,57.73746739
1619805010,95.68437439
1619810010,29.26422029
1619815010,72.07053213
1619820010,84.57181924
1619825010,63.84437967
1619830010,31.51208531
1619835010,84.33013135
1619840010,59.53530622
1619845010,12.91096682
1619850010,59.25204015
1619855010,97.31334123
1619860010,40.03072733
1619865010,65.67475339
1619870010,27.0278435
1619875010,22.79254687
1619880010,94.00733772
1619885010,37.25862139
1619890010,54.56803956
1619895010,61.67411358
1619900010,33.38339966
1619905010,19.37943428
1619910010,9.916419901
1619915010,2.583187755
1619920010,100.2188053
1619925010,71.22211064
1619930010,95.43642674
1619935010,65.59060158
1619940010,4.376614195
1619945010,27.04757358
1619950010,28.91627493
1619955010,48.54023814
1619960010,97.96348585
1619965010,96.49334047
1619970010,69.6796194
1619975010,25.70448624
1619980010,78.35380919
1619985010,37.02286767
1619990010,26.54159434
1619995010,27.59257454
1620000010,8.143064104
1620005010,35.12598985
1620010010,19.47264094
1620015010,11.54181909
1620020010,59.14292595
1620025010,50.55240758
1620030010,69.1903208
1620035010,53.92825808
1620040010,13.58578778
1620045010,62.61279797
1620050010,43.19590033
1620055010,13.30838962
1620060010,95.81901344
1620065010,14.53492175
1620070010,7.639580065
1620075010,40.73359973
1620080010,38.63736479
1620085010,26.00543052
1620090010,95.3486912
1620095010,86.30894944
1620100010,33.42473897
1620105010,23.30651062
1620110010,36.90681875
1620115010,29.36775383
1620120010,4.870556834
1620125010,75.27881967
1620130010,18.228822
1620135010,18.02340517
1620140010,40.39818209
1620145010,5.755664537
1620150010,5.817839678
1620155010,30.46570231
1620160010,96.82648602
1620165010,19.61665211
1620170010,70.2672998
1620175010,32.66446439
1620180010,88.52968203
1620185010,6.285185944
